year,pm25,pm10,no2,so2
2013,153.0,287.0,55.0,7.0
2014,149.0,273.0,58.0,8.0
2015,117.3,230.0,50.4,12.6
2016,138.5,258.3,63.5,18.8
2017,125.1,264.4,57.7,23.8
2018,115.0,240.1,45.9,13.6
2019,108.5,215.0,45.2,14.0
2020,119.3,254.0,45.2,14.0
2021,118.0,249.1,44.4,13.8
2022,118.3,251.1,44.8,13.9
2023,116.6,244.2,43.4,13.4
2024,115.8,242.0,43.0,13.3
2025,115.0,239.5,42.7,13.2
