year,lahore,dhaka,hanoi
2013,63.1,80.3,44.7
2014,65.1,84.3,47.6
2015,67.3,80.6,39.8
2016,71.3,77.4,43.0
2017,70.7,75.9,43.7
2018,77.7,96.6,41.5
2019,68.5,82.9,43.7
2020,66.4,87.0,40.1
2021,79.0,88.0,38.4
2022,76.2,78.2,37.8
2023,76.2,85.0,41.9
2024,76.2,85.0,41.9
2025,76.2,85.0,41.9
