policy,start_year,end_year,pollutant,baseline_year,baseline_start_month,baseline_end_month,calculation_start_month,baseline_year_mean,end_change_pct,effective_month,effective_change_pct,max_reduction_month,max_reduction_value,status
《北京市 2013-2017 年清洁空气行动计划》,2014-01,2017,NO2,2014,2014-01,2014-12,2015-01,28.052999,-21.952895,2015-03,-9.036947,2016-10,-15.129032,2014年作初始期与固定基准年，计算从2015-01开始
《北京市 2013-2017 年清洁空气行动计划》,2014-01,2017,SO2,2014,2014-01,2014-12,2015-01,12.133830,-65.741035,2015-02,-56.634431,2016-02,-23.024052,2014年作初始期与固定基准年，计算从2015-01开始
《北京市 2013-2017 年清洁空气行动计划》,2014-01,2017,CO,2014,2014-01,2014-12,2015-01,13.759350,-41.357516,2015-02,-53.734715,2016-02,-17.775822,2014年作初始期与固定基准年，计算从2015-01开始
《京津冀及周边地区落实大气污染防治行动计划实施细则》,2014-01,2017,PM2.5,2014,2014-01,2014-12,2015-01,159.349045,-27.084348,2015-02,-33.945490,2016-02,-129.682212,2014年作初始期与固定基准年，计算从2015-01开始
《京津冀及周边地区落实大气污染防治行动计划实施细则》,2014-01,2017,PM10,2014,2014-01,2014-12,2015-01,88.358561,-23.426746,2015-05,-21.623334,2016-02,-64.006764,2014年作初始期与固定基准年，计算从2015-01开始
《京津冀及周边地区落实大气污染防治行动计划实施细则》,2014-01,2017,O3,2014,2014-01,2014-12,2015-01,46.282510,-2.709204,2015-05,-5.195602,2017-08,-25.354839,2014年作初始期与固定基准年，计算从2015-01开始
《京津冀及周边地区落实大气污染防治行动计划实施细则》,2014-01,2017,NO2,2014,2014-01,2014-12,2015-01,28.052999,-21.952895,2015-03,-9.036947,2016-10,-15.129032,2014年作初始期与固定基准年，计算从2015-01开始
《京津冀及周边地区落实大气污染防治行动计划实施细则》,2014-01,2017,SO2,2014,2014-01,2014-12,2015-01,12.133830,-65.741035,2015-02,-56.634431,2016-02,-23.024052,2014年作初始期与固定基准年，计算从2015-01开始
《京津冀及周边地区落实大气污染防治行动计划实施细则》,2014-01,2017,CO,2014,2014-01,2014-12,2015-01,13.759350,-41.357516,2015-02,-53.734715,2016-02,-17.775822,2014年作初始期与固定基准年，计算从2015-01开始
《北京市大气污染防治条例》,2014-01,2018,PM2.5,2014,2014-01,2014-12,2015-01,159.349045,-32.253339,2015-02,-33.945490,2016-02,-129.682212,2014年作初始期与固定基准年，计算从2015-01开始
《北京市大气污染防治条例》,2014-01,2018,PM10,2014,2014-01,2014-12,2015-01,88.358561,-27.700208,2015-05,-21.623334,2016-02,-64.006764,2014年作初始期与固定基准年，计算从2015-01开始
《北京市大气污染防治条例》,2014-01,2018,O3,2014,2014-01,2014-12,2015-01,46.282510,-4.477873,2015-05,-5.195602,2017-08,-25.354839,2014年作初始期与固定基准年，计算从2015-01开始
《北京市大气污染防治条例》,2014-01,2018,NO2,2014,2014-01,2014-12,2015-01,28.052999,-29.290494,2015-03,-9.036947,2018-10,-16.225807,2014年作初始期与固定基准年，计算从2015-01开始
《北京市大气污染防治条例》,2014-01,2018,SO2,2014,2014-01,2014-12,2015-01,12.133830,-71.952943,2015-02,-56.634431,2018-01,-26.225807,2014年作初始期与固定基准年，计算从2015-01开始
《北京市大气污染防治条例》,2014-01,2018,CO,2014,2014-01,2014-12,2015-01,13.759350,-46.756814,2015-02,-53.734715,2018-02,-18.650000,2014年作初始期与固定基准年，计算从2015-01开始
《北京市打赢蓝天保卫战三年行动计划》,2018-09,2020,PM2.5,2017,2017-09,2018-08,2018-09,109.637387,-9.295768,2018-10,-17.948432,2019-01,-61.000000,完成
《北京市打赢蓝天保卫战三年行动计划》,2018-09,2020,PM10,2017,2017-09,2018-08,2018-09,63.742384,-24.740145,2019-02,-7.438925,2020-01,-55.192473,完成
《北京市打赢蓝天保卫战三年行动计划》,2018-09,2020,O3,2017,2017-09,2018-08,2018-09,44.653750,0.177388,2019-05,-22.448064,2020-05,-26.532258,完成
《北京市打赢蓝天保卫战三年行动计划》,2018-09,2020,NO2,2017,2017-09,2018-08,2018-09,21.036572,-31.082404,2018-10,-14.786379,2020-09,-13.142857,完成
《北京市打赢蓝天保卫战三年行动计划》,2018-09,2020,SO2,2017,2017-09,2018-08,2018-09,3.290583,-41.575417,2019-02,-91.531118,2020-01,-6.947581,完成
《北京市打赢蓝天保卫战三年行动计划》,2018-09,2020,CO,2017,2017-09,2018-08,2018-09,7.520514,-25.750525,2018-10,-18.405361,2020-01,-9.258065,完成
《北京市 “十四五” 时期生态环境保护规划》,2021-12,2026,PM2.5,2020,2020-12,2021-11,2021-12,104.648091,-14.239241,2022-01,-23.816618,2022-07,-57.903226,执行期数据仅截至2026-05；作用结果按同期5个月比较
《北京市 “十四五” 时期生态环境保护规划》,2021-12,2026,PM10,2020,2020-12,2021-11,2021-12,73.679580,-35.950149,2022-06,-21.158555,2025-06,-17.266667,执行期数据仅截至2026-05；作用结果按同期5个月比较
《北京市 “十四五” 时期生态环境保护规划》,2021-12,2026,O3,2020,2020-12,2021-11,2021-12,40.422065,8.548514,2022-04,-13.157737,2022-06,-16.100000,执行期数据仅截至2026-05；作用结果按同期5个月比较
《北京市 “十四五” 时期生态环境保护规划》,2021-12,2026,NO2,2020,2020-12,2021-11,2021-12,16.519677,-18.609401,2022-02,-20.046787,2025-10,-8.096774,执行期数据仅截至2026-05；作用结果按同期5个月比较
《北京市 “十四五” 时期生态环境保护规划》,2021-12,2026,SO2,2020,2020-12,2021-11,2021-12,0.374397,133.716865,2022-01,-2197.558645,2022-01,-2.098195,执行期数据仅截至2026-05；作用结果按同期5个月比较
《北京市 “十四五” 时期生态环境保护规划》,2021-12,2026,CO,2020,2020-12,2021-11,2021-12,5.528164,-11.887847,2022-02,-67.242584,2023-01,-4.774194,执行期数据仅截至2026-05；作用结果按同期5个月比较
《北京市深入打好污染防治攻坚战 2022 年行动计划》,2022-02,2024,PM2.5,2021,2021-02,2022-01,2022-02,89.807375,0.971295,2022-03,-44.342841,2022-02,-65.285714,完成
《北京市深入打好污染防治攻坚战 2022 年行动计划》,2022-02,2024,PM10,2021,2021-02,2022-01,2022-02,56.439410,-9.820940,2022-03,-68.601658,2022-03,-84.701613,完成
《北京市深入打好污染防治攻坚战 2022 年行动计划》,2022-02,2024,O3,2021,2021-02,2022-01,2022-02,39.116592,12.604344,2024-09,-16.929524,2022-08,-16.290322,完成
《北京市深入打好污染防治攻坚战 2022 年行动计划》,2022-02,2024,NO2,2021,2021-02,2022-01,2022-02,14.990303,-5.920660,2022-03,-41.781331,2022-03,-8.225806,完成
《北京市深入打好污染防治攻坚战 2022 年行动计划》,2022-02,2024,SO2,2021,2021-02,2022-01,2022-02,1.264131,18.053332,2022-03,-104.385345,2022-02,-0.889923,完成
《北京市深入打好污染防治攻坚战 2022 年行动计划》,2022-02,2024,CO,2021,2021-02,2022-01,2022-02,5.507822,-9.454921,2022-03,-35.433066,2022-02,-4.464286,完成
《北京市深入打好污染防治攻坚战 2023 年行动计划》,2023-02,2025,PM2.5,2022,2022-02,2023-01,2023-02,80.497992,1.686673,2025-01,-19.780963,2023-11,-27.766667,完成
《北京市深入打好污染防治攻坚战 2023 年行动计划》,2023-02,2025,PM10,2022,2022-02,2023-01,2023-02,48.867704,-8.059833,2024-12,-44.952981,2024-09,-23.100000,完成
《北京市深入打好污染防治攻坚战 2023 年行动计划》,2023-02,2025,O3,2022,2022-02,2023-01,2023-02,43.986247,4.187781,,,2024-09,-29.033333,执行期内未出现连续两月较基准年同月下降至少5%
《北京市深入打好污染防治攻坚战 2023 年行动计划》,2023-02,2025,NO2,2022,2022-02,2023-01,2023-02,12.579980,-2.014021,2025-08,-5.870679,2024-09,-4.866667,完成
《北京市深入打好污染防治攻坚战 2023 年行动计划》,2023-02,2025,SO2,2022,2022-02,2023-01,2023-02,1.270717,40.371315,,,2024-08,-0.301075,执行期内未出现连续两月较基准年同月下降至少5%
《北京市深入打好污染防治攻坚战 2023 年行动计划》,2023-02,2025,CO,2022,2022-02,2023-01,2023-02,3.915368,31.638424,,,2023-06,-2.000000,执行期内未出现连续两月较基准年同月下降至少5%
《推进美丽北京建设 持续深入打好污染防治攻坚战 2024 年行动计划》,2024-02,2026,PM2.5,2023,2023-02,2024-01,2024-02,98.998183,-9.344804,2024-03,-13.662654,2024-12,-46.075269,执行期数据仅截至2026-05；作用结果按同期5个月比较
《推进美丽北京建设 持续深入打好污染防治攻坚战 2024 年行动计划》,2024-02,2026,PM10,2023,2023-02,2024-01,2024-02,70.994680,-33.527891,2024-03,-37.594756,2025-03,-56.000000,执行期数据仅截至2026-05；作用结果按同期5个月比较
《推进美丽北京建设 持续深入打好污染防治攻坚战 2024 年行动计划》,2024-02,2026,O3,2023,2023-02,2024-01,2024-02,42.567718,3.077057,2024-09,-30.081585,2026-05,-15.801833,执行期数据仅截至2026-05；作用结果按同期5个月比较
《推进美丽北京建设 持续深入打好污染防治攻坚战 2024 年行动计划》,2024-02,2026,NO2,2023,2023-02,2024-01,2024-02,16.642488,-19.210012,2024-03,-16.591179,2026-02,-7.785714,执行期数据仅截至2026-05；作用结果按同期5个月比较
《推进美丽北京建设 持续深入打好污染防治攻坚战 2024 年行动计划》,2024-02,2026,SO2,2023,2023-02,2024-01,2024-02,0.309593,182.638240,,,2025-10,-0.443318,执行期数据仅截至2026-05；作用结果按同期5个月比较；执行期内未出现连续两月较基准年同月下降至少5%
《推进美丽北京建设 持续深入打好污染防治攻坚战 2024 年行动计划》,2024-02,2026,CO,2023,2023-02,2024-01,2024-02,4.662741,4.466102,,,2024-12,-3.179211,执行期数据仅截至2026-05；作用结果按同期5个月比较；执行期内未出现连续两月较基准年同月下降至少5%
《推进美丽北京建设 持续深入打好污染防治攻坚战 2025 年行动计划》,2025-01,2026,PM2.5,2024,2024-01,2024-12,2025-01,94.851276,-5.381350,2025-02,-29.558793,2025-02,-28.416310,执行期数据仅截至2026-05；作用结果按同期5个月比较
《推进美丽北京建设 持续深入打好污染防治攻坚战 2025 年行动计划》,2025-01,2026,PM10,2024,2024-01,2024-12,2025-01,54.486560,-13.388437,2025-02,-14.586845,2025-03,-21.354839,执行期数据仅截至2026-05；作用结果按同期5个月比较
《推进美丽北京建设 持续深入打好污染防治攻坚战 2025 年行动计划》,2025-01,2026,O3,2024,2024-01,2024-12,2025-01,43.278154,1.384986,2025-07,-13.268629,2026-05,-15.401833,执行期数据仅截至2026-05；作用结果按同期5个月比较
《推进美丽北京建设 持续深入打好污染防治攻坚战 2025 年行动计划》,2025-01,2026,NO2,2024,2024-01,2024-12,2025-01,15.161875,-11.320573,2025-04,-27.075681,2025-10,-5.935484,执行期数据仅截至2026-05；作用结果按同期5个月比较
《推进美丽北京建设 持续深入打好污染防治攻坚战 2025 年行动计划》,2025-01,2026,SO2,2024,2024-01,2024-12,2025-01,0.335221,161.030199,,,2025-10,-0.217396,执行期数据仅截至2026-05；作用结果按同期5个月比较；执行期内未出现连续两月较基准年同月下降至少5%
《推进美丽北京建设 持续深入打好污染防治攻坚战 2025 年行动计划》,2025-01,2026,CO,2024,2024-01,2024-12,2025-01,5.054397,-3.628770,2025-10,-11.355824,2025-03,-1.032258,执行期数据仅截至2026-05；作用结果按同期5个月比较
《美丽北京建设2026年行动计划》,2026-01,2026,PM2.5,2025,2025-01,2025-12,2026-01,78.656401,14.100055,,,2026-05,-0.039264,执行期数据仅截至2026-05；作用结果按同期5个月比较；执行期内未出现连续两月较基准年同月下降至少5%
《美丽北京建设2026年行动计划》,2026-01,2026,PM10,2025,2025-01,2025-12,2026-01,43.733190,7.908116,,,2026-05,-6.926077,执行期数据仅截至2026-05；作用结果按同期5个月比较；执行期内未出现连续两月较基准年同月下降至少5%
《美丽北京建设2026年行动计划》,2026-01,2026,O3,2025,2025-01,2025-12,2026-01,48.360206,-9.269306,,,2026-05,-22.285703,执行期数据仅截至2026-05；作用结果按同期5个月比较；执行期内未出现连续两月较基准年同月下降至少5%
《美丽北京建设2026年行动计划》,2026-01,2026,NO2,2025,2025-01,2025-12,2026-01,12.409462,8.348486,,,2026-02,-1.357142,执行期数据仅截至2026-05；作用结果按同期5个月比较；执行期内未出现连续两月较基准年同月下降至少5%
《美丽北京建设2026年行动计划》,2026-01,2026,SO2,2025,2025-01,2025-12,2026-01,1.004943,-12.927549,,,2026-04,-1.728571,执行期数据仅截至2026-05；作用结果按同期5个月比较；执行期内未出现连续两月较基准年同月下降至少5%
《美丽北京建设2026年行动计划》,2026-01,2026,CO,2025,2025-01,2025-12,2026-01,5.224247,-6.761982,2026-05,-32.524455,2026-05,-2.640198,执行期数据仅截至2026-05；作用结果按同期5个月比较
